Site, Status, Temp, Date
1,1,24.822,20230301003834
2,1,24.927,20230301003112
3,1,24.911,20230301002400
4,1,24.891,20230301001642
5,1,24.892,20230301000934
6,1,24.804,20230301003728
7,1,24.879,20230301003009
8,1,24.851,20230301002259
9,1,24.882,20230301001542
10,1,24.822,20230301000833
11,1,24.782,20230301003624
12,1,24.841,20230301002908
13,1,24.879,20230301002157
14,1,24.881,20230301001441
15,1,24.828,20230301000724
16,1,24.787,20230301003522
17,1,24.841,20230301002808
18,1,24.823,20230301002053
19,1,24.861,20230301001340
20,1,24.695,20230301004244
21,1,24.801,20230301003420
22,1,24.854,20230301002707
23,1,24.885,20230301001951
24,1,24.866,20230301001239
25,1,24.737,20230301004144
26,1,24.773,20230301003315
27,1,24.814,20230301002606
28,1,24.856,20230301001848
29,1,24.864,20230301001138
30,1,24.758,20230301004041
31,1,24.853,20230301003214
32,1,24.834,20230301002502
33,1,24.858,20230301001746
34,1,24.865,20230301001035
35,1,24.820,20230301003937
